Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00160601",115,74,9,8,10,-,-,16,-
"S00160602",86,44,7,6,6,-,3,16,-
"S00160603",167,106,23,17,3,1,-,11,2
"S00160604",92,62,12,17,-,-,-,-,-
"S00160605",226,133,46,12,7,2,4,14,5
"S00160606",129,71,12,10,7,1,1,26,-
"S00160607",150,90,41,16,-,2,-,4,-
"S00160608",103,79,13,2,5,1,-,3,-
"S00160609",108,83,13,3,5,-,-,2,-
"S00160610",143,115,12,15,-,-,1,5,-
"S00160611",139,111,8,13,1,1,1,5,-
"S00160612",117,97,5,6,-,-,-,9,-
"S00160613",94,73,11,9,-,-,-,2,-
"S00160614",77,44,9,6,1,-,-,15,-
"S00160615",153,113,10,19,7,1,-,6,-
"S00160616",75,67,6,6,2,-,-,-,-
"S00160617",86,50,12,10,6,-,1,6,-
"S00160618",68,32,4,12,4,1,2,13,6
"S00160619",139,53,39,31,4,5,4,6,2
"S00160620",125,74,17,8,1,4,1,20,5
"S00160621",160,107,24,18,6,1,-,3,-
"S00160622",149,119,11,8,1,-,-,11,-
"S00160623",137,94,13,11,-,3,3,14,-
"S00160624",123,49,22,22,6,3,-,22,-
"S00160625",119,74,20,12,-,3,2,7,-
"S00160626",115,91,12,9,4,1,-,3,-
"S00160627",98,58,18,8,6,-,1,8,-
"S00160628",113,64,9,15,7,1,-,11,-
"S00160629",86,48,11,10,2,4,2,10,-
"S00160630",71,43,8,3,1,-,-,15,1
"S00160631",94,74,8,3,-,-,1,11,-
"S00160632",135,97,14,20,-,1,-,2,-
"S00160633",134,47,11,7,7,1,-,58,-
"S00160634",170,104,25,5,12,9,1,17,-
"S00160635",205,90,34,7,28,2,1,42,-
"S00160636",98,55,14,11,5,2,1,13,-
"S00160637",100,71,6,8,-,2,-,10,-
"S00160638",136,61,16,10,8,-,5,17,12
"S00160639",159,94,2,7,7,-,1,42,6
"S00160640",113,93,11,2,1,1,-,9,-
"S00160641",108,66,16,14,3,1,-,12,1
"S00160642",112,70,8,6,4,6,-,21,-
"S00160643",102,81,15,6,2,-,-,1,-
"S00160644",151,114,15,11,4,3,1,-,-
"S00160645",111,60,11,9,8,2,1,16,-
"S00160646",88,51,13,10,1,-,-,15,-
"S00160647",106,61,22,4,4,-,1,19,-
"S00160648",186,117,20,12,7,3,5,20,-
"S00160649",151,88,39,10,11,1,2,7,1
"S00160650",92,74,10,8,-,-,-,-,-
"S00160651",80,50,6,5,1,-,-,19,-
"S00160652",168,127,8,12,4,-,-,19,-
"S00160653",88,52,9,10,2,2,2,9,-
"S00160654",124,82,26,2,4,1,2,10,-
"S00160655",66,42,14,5,-,4,-,1,-
"S00160656",211,113,44,36,10,1,4,3,-
"S00160657",80,61,19,1,-,1,1,-,-
"S00160658",82,50,10,4,5,-,-,15,-
"S00160659",105,52,33,15,1,-,-,5,-
"S00160660",111,85,6,7,1,-,-,12,-
"S00160661",103,72,8,8,2,-,-,16,1
"S00160662",121,61,29,9,4,-,-,16,-
"S00160663",136,66,43,11,7,2,-,6,-
"S00160664",242,177,16,8,3,1,-,37,-
"S00160665",114,55,17,12,3,3,-,24,-
"S00160666",122,55,24,20,1,1,7,10,5
"S00160667",119,88,11,8,1,1,-,9,-
"S00160668",80,50,19,7,-,1,-,1,-
"S00160669",227,132,36,20,4,5,2,25,3
"S00160670",175,86,30,17,11,-,-,28,3
"S00160671",128,73,22,25,-,5,1,6,-
"S00160672",122,89,12,4,2,1,2,10,-
"S00160673",111,81,13,9,-,1,-,7,-
"S00160674",124,93,6,9,4,-,1,11,-
"S00160675",89,37,26,12,2,-,-,16,-
"S00160676",80,58,1,11,-,-,-,10,-
"S00160677",146,119,14,9,-,-,1,2,1
"S00160678",120,76,11,12,2,-,1,12,2
"S00160679",63,48,3,6,-,4,-,4,-
"S00160680",103,67,12,14,3,-,-,5,-
"S00160681",121,62,11,18,15,-,-,12,4
"S00160682",63,35,14,-,6,3,-,7,-
"S00160683",130,85,22,10,1,-,1,10,1
"S00160684",154,78,6,16,6,1,2,44,1
"S00160685",137,99,10,18,4,2,-,5,-
"S00160686",200,134,13,23,8,2,1,19,-
"S00160687",100,55,21,2,4,-,2,14,-
"S00160688",105,38,20,8,10,1,4,23,-
"S00160689",95,52,18,4,5,1,-,14,-
"S00160690",304,240,39,17,3,1,-,3,1
"S00160691",89,38,29,1,4,2,2,10,-
"S00160692",61,35,7,8,-,2,-,4,-
"S00160693",110,88,7,6,1,-,-,7,-
"S00160694",124,94,8,16,3,1,-,11,-
"S00160695",113,84,11,5,3,1,-,4,2
"S00160696",183,82,48,33,5,2,1,11,2
"S00160697",155,76,15,17,11,1,3,27,2
"S00160698",133,45,22,24,11,4,4,17,-
"S00160699",65,41,3,6,3,-,-,13,-
"S00160700",168,116,16,11,6,2,4,15,-
"S00160701",152,126,14,8,3,-,-,1,-
"S00160702",78,46,9,6,2,-,-,12,1
"S00160703",168,126,11,8,-,13,-,8,2
"S00160704",106,55,16,9,8,-,5,15,-
"S00160705",78,54,4,8,2,2,1,6,-
"S00160706",235,121,34,20,12,2,4,41,2
"S00160707",119,86,7,17,2,-,2,7,-
"S00160708",202,126,27,12,6,6,-,22,-
"S00160709",110,87,14,6,1,-,-,2,-
"S00160710",79,52,10,2,1,4,-,9,-
"S00160711",120,76,16,4,5,4,5,11,2
"S00160712",139,73,20,13,18,-,-,18,1
"S00160713",96,86,5,4,-,-,-,1,-
"S00160714",118,90,12,3,4,-,2,6,-
"S00160715",89,51,12,5,-,-,-,20,-
"S00160716",166,124,9,20,4,-,-,7,-
"S00160717",118,95,11,7,2,1,2,1,-
"S00160718",80,44,10,4,3,1,1,14,-
"S00160719",121,88,9,13,3,-,-,8,-
"S00160720",94,64,14,13,2,-,-,4,-
"S00160721",121,75,29,7,3,1,-,6,-
"S00160722",60,37,7,1,4,-,-,10,-
"S00160723",110,82,12,7,1,-,-,8,-
"S00160724",160,78,23,6,21,-,1,31,-
"S00160725",132,77,6,11,2,2,-,25,5
"S00160726",100,59,10,7,5,1,2,18,1
"S00160727",72,55,7,10,-,-,-,1,-
"S00160728",251,193,9,12,3,9,1,24,-
"S00160729",145,68,38,17,4,3,1,18,-
"S00160730",60,42,8,1,-,-,-,11,-
"S00160731",151,104,31,6,1,2,3,4,-
"S00160732",144,90,24,20,4,2,-,1,-
"S00160733",91,48,13,6,4,1,-,17,1
"S00160734",120,73,13,1,4,3,2,20,1
"S00160735",152,115,9,8,1,-,-,23,-
"S00160736",110,74,12,3,3,-,-,13,1
"S00160737",133,62,28,7,2,2,1,32,1
"S00160738",118,57,30,4,3,1,3,15,-
"S00160739",114,67,14,11,2,-,-,16,1
"S00160740",135,87,16,14,-,4,3,15,-
"S00160741",68,50,10,1,1,2,1,3,-
"S00160742",118,84,7,18,4,4,2,8,-
"S00160743",103,56,10,9,9,3,1,12,-
"S00160744",105,75,17,10,1,1,-,4,-
"S00160745",123,79,16,10,4,1,-,16,-
"S00160746",184,64,42,17,8,-,5,48,3
"S00160747",116,64,17,10,2,-,-,19,-
"S00160748",144,83,17,18,13,2,-,14,1
"S00160749",94,61,22,6,1,-,2,1,1
"S00160750",110,65,17,13,7,-,-,8,-
"S00160751",83,48,20,2,-,1,-,9,-
"S00160752",125,70,18,6,5,3,1,21,1
"S00160753",194,100,30,11,11,8,4,26,3
"S00160754",152,69,16,14,4,4,1,38,2
"S00160755",154,112,9,12,1,-,-,16,-
"S00160756",88,65,5,12,2,1,-,2,-
"S00160757",112,72,17,17,2,-,-,-,-
"S00160758",167,135,8,11,2,2,-,6,-
"S00160759",171,109,16,10,4,1,-,34,1
"S00160760",87,43,11,4,4,-,2,19,-
"S00160761",84,48,20,10,3,-,-,4,-
"S00160762",137,84,24,10,4,2,2,15,-
"S00160763",140,73,14,17,14,4,-,17,1
"S00160764",72,56,5,5,-,-,-,9,-
"S00160765",179,102,26,34,-,7,1,9,-
"S00160766",162,120,16,10,3,2,-,11,-
"S00160767",78,21,22,3,16,-,-,14,1
"S00160768",170,120,21,6,4,3,2,9,4
"S00160769",94,83,6,4,1,-,-,-,-
"S00160770",230,160,31,33,-,2,1,3,1
"S00160771",75,50,7,8,1,2,2,7,-
"S00160772",86,53,14,5,2,-,-,11,-
"S00160773",62,42,8,7,1,2,-,2,-
"S00160774",136,70,17,2,3,1,1,42,-
"S00160775",116,61,28,21,5,-,-,6,-
"S00160776",95,74,10,9,-,-,1,1,-
"S00160777",152,77,29,18,6,-,-,21,-
"S00160778",127,71,13,8,6,3,4,23,2
"S00160779",125,73,15,11,11,-,1,13,1
"S00160780",106,75,12,12,1,2,1,6,-
"S00160781",112,79,7,2,8,-,-,12,-
"S00160782",85,45,16,-,4,-,-,17,1
"S00160783",171,120,22,19,4,2,2,7,-
"S00160784",88,52,12,2,3,-,-,23,-
"S00160785",146,80,35,8,7,3,2,9,2
"S00160786",127,59,24,23,10,-,1,8,-
"S00160787",72,36,5,2,6,3,-,19,-
"S00160788",128,65,22,5,12,2,1,21,-
"S00160789",69,54,-,4,-,-,-,7,1
"S00160790",146,88,12,6,12,4,-,25,-
"S00160791",159,73,21,8,11,1,2,40,-
"S00160792",75,43,8,8,4,2,-,11,2
"S00160793",154,121,21,8,2,-,-,2,-
"S00160794",140,97,27,12,-,-,-,3,-
"S00160795",190,141,22,12,-,3,-,13,-
"S00160796",57,31,10,-,6,1,-,10,1
"S00160797",87,48,13,2,3,3,-,15,1
"S00160798",82,50,4,7,1,-,1,15,2
"S00160799",110,67,25,9,4,4,-,1,-
"S00160800",85,67,6,8,2,-,-,1,-
"S00160801",64,32,6,7,4,-,-,11,-
"S00160802",64,36,7,5,1,2,2,12,-
"S00160803",153,120,14,10,-,-,-,8,2
"S00160804",69,36,17,6,-,-,-,12,-
"S00160805",87,56,11,2,5,2,1,12,-
"S00160806",132,69,9,10,7,2,2,31,2
"S00160807",123,61,11,5,15,4,2,27,-
"S00160808",117,90,17,13,-,-,1,1,-
"S00160809",136,96,19,13,2,1,-,6,-
"S00160810",94,26,18,11,-,2,-,30,-
"S00160811",107,65,16,11,2,2,-,10,-
"S00160812",116,96,7,1,-,-,-,11,-
"S00160813",128,60,18,17,5,-,1,32,-
"S00160814",105,40,22,18,19,1,-,2,-
"S00160815",185,120,19,17,14,1,-,12,2
"S00160816",133,67,12,-,6,4,-,42,-
"S00160817",62,35,5,1,1,1,2,14,-
"S00160818",121,55,30,26,3,1,1,1,2
"S00160819",74,34,4,1,2,3,1,29,-
"S00160820",70,44,3,-,-,4,1,14,-
"S00160821",85,34,22,11,5,3,5,6,-
"S00160822",168,118,36,7,4,2,-,2,-
"S00160823",67,35,11,8,3,5,-,7,-
"S00160824",114,62,28,10,2,2,3,7,-
"S00160825",119,67,18,12,4,7,-,18,-
"S00160826",91,43,3,4,-,2,-,37,-
"S00160827",124,64,20,13,11,-,3,13,-
"S00160828",155,74,45,16,4,6,5,7,-
"S00160829",132,46,25,11,4,6,3,38,-
"S00160830",95,41,12,-,1,7,4,30,-
"S00160831",73,23,15,3,10,2,-,15,4
"S00160832",71,36,5,11,4,1,-,15,-
"S00160833",88,37,13,5,3,-,-,26,1
"S00160834",81,44,15,7,7,2,2,4,-
"S00160835",208,135,49,9,2,1,-,7,2
"S00160836",69,30,3,3,4,8,-,18,3
"S00160837",121,54,12,10,1,-,3,37,1
"S00160838",61,32,11,4,-,3,3,8,-
"S00160839",88,49,16,4,6,-,-,13,1
"S00160840",141,74,19,11,6,5,6,19,3
"S00160841",133,55,10,14,9,-,-,49,-
"S00160842",107,82,17,6,-,-,-,10,-
"S00160843",76,31,8,3,-,3,3,25,-
"S00160844",158,109,26,20,-,2,-,1,-
"S00160845",94,71,13,7,-,-,2,4,1
"S00160846",92,44,24,14,3,4,3,4,1
"S00160847",150,67,19,1,6,3,-,49,-
"S00160848",96,76,12,7,-,1,-,-,-
"S00160849",169,106,23,20,2,4,1,10,-
"S00160850",87,38,16,24,6,-,2,5,-
"S00160851",121,71,9,1,2,5,-,30,-
"S00160852",226,152,35,7,14,4,1,19,-
"S00160853",134,93,22,16,-,-,2,1,-
"S00160854",116,73,22,8,5,2,-,6,-
"S00160855",159,72,21,12,16,-,-,38,-
"S00160856",129,104,14,8,-,1,-,4,-
"S00160857",190,61,33,11,3,-,2,77,1
"S00160858",173,89,35,16,14,2,-,20,-
"S00160859",69,61,6,4,-,-,-,2,-
"S00160860",88,33,17,3,2,-,-,33,-
"S00160861",206,64,22,4,8,1,-,101,5
"S00160862",71,29,22,7,1,1,-,9,-
"S00160863",176,137,18,8,2,-,-,15,-
"S00160864",200,95,37,25,10,6,8,17,-
"S00160865",136,64,11,7,4,3,5,44,1
"S00160866",135,62,31,23,4,-,3,15,1
"S00160867",101,35,7,10,8,-,2,35,-
"S00160868",94,81,5,6,-,5,-,-,-
"S00160869",97,73,9,12,-,1,4,2,-
"S00160870",271,115,36,19,18,5,-,74,4
"S00160871",131,77,4,7,10,1,2,33,-
"S00160872",168,110,27,23,5,-,-,6,-
"S00160873",91,71,8,4,2,-,-,7,-
"S00160874",83,45,6,4,-,1,2,24,-
"S00160875",110,56,20,6,4,3,-,18,1
"S00160876",122,48,25,8,12,1,-,33,2
"S00160877",147,106,15,15,2,-,1,3,1
"S00160878",144,70,28,17,8,2,1,15,-
"S00160879",143,77,31,22,3,-,1,9,-
"S00160880",135,80,29,7,1,4,2,13,-
"S00160881",122,63,24,7,3,2,2,15,1
"S00160882",95,45,12,6,6,-,1,20,2
"S00160883",74,52,12,5,2,-,-,2,-
"S00160884",96,57,8,3,7,3,2,19,-
"S00160885",116,71,20,3,4,6,2,10,-
"S00160886",164,73,17,8,9,4,3,45,1
"S00160887",144,43,20,6,5,1,-,70,-
"S00160888",60,42,3,4,1,-,-,3,-
"S00160889",93,52,13,7,1,-,-,24,-
"S00160890",124,80,18,14,2,3,3,4,-
"S00160891",69,32,7,7,10,1,-,12,-
"S00160892",120,77,17,13,5,1,4,3,-
"S00160893",90,17,16,3,-,2,-,52,-
"S00160894",115,89,13,11,-,-,-,2,-
"S00160895",157,47,26,13,10,5,-,54,3
"S00160896",103,71,15,5,3,4,2,6,-
"S00160897",71,44,8,8,4,2,-,5,-
"S00160898",149,86,11,25,10,1,1,11,2
"S00160899",125,50,22,5,3,8,-,25,8
"S00160900",120,47,15,12,8,-,2,39,-
"S00160901",153,115,14,18,1,2,-,2,-
"S00160902",109,82,17,6,2,1,-,1,-
"S00160903",147,116,16,3,6,-,1,8,-
"S00160904",113,42,1,2,-,4,-,62,-
"S00160905",102,76,22,3,-,-,1,3,-
"S00160906",82,44,10,3,5,4,1,17,-
"S00160907",79,49,13,1,2,2,-,12,5
"S00160908",118,76,14,23,2,1,-,-,3
"S00160909",120,68,16,11,7,6,4,8,-
"S00160910",104,63,9,7,7,2,3,17,2
"S00160911",145,106,16,19,-,-,-,5,-
"S00160912",152,40,29,9,11,7,4,48,3
"S00160913",199,127,33,9,1,8,1,22,-
"S00160914",119,70,16,11,6,-,2,12,-
"S00160915",136,69,21,5,2,2,-,35,1
"S00160916",94,70,14,7,2,3,-,2,-
"S00160917",86,67,4,-,2,1,-,8,-
"S00160918",146,84,21,2,6,1,1,26,2
"S00160919",131,57,21,8,4,4,-,36,-
"S00160920",90,46,13,8,3,5,1,14,-
"S00160921",98,54,6,9,4,5,-,23,-
"S00160922",92,39,19,12,10,2,-,16,2
"S00160923",100,81,10,4,1,-,-,7,-
"S00160924",131,62,20,15,11,1,6,19,3
"S00160925",81,52,6,2,2,5,1,13,-
"S00160926",265,166,70,6,8,4,1,11,2
"S00160927",310,92,67,16,15,8,4,104,7
"S00160928",113,78,9,13,-,-,-,7,-
"S00160929",147,46,24,18,19,2,-,35,4
"S00160930",207,170,12,17,1,3,-,4,-
"S00160931",138,56,9,14,21,1,-,38,-
"S00160932",92,49,18,13,6,1,1,4,-
"S00160933",137,97,22,6,-,1,4,5,-
"S00160934",98,41,12,18,4,1,-,18,-
"S00160935",145,57,4,3,10,2,1,60,6
"S00160936",74,36,11,4,12,-,-,9,-
"S00160937",133,87,21,13,1,1,1,8,-
"S00160938",159,98,25,23,3,2,3,5,1
"S00160939",169,105,32,15,2,-,2,12,3
"S00160940",68,33,17,15,1,-,-,1,-
"S00160941",118,65,12,4,5,4,8,20,1
"S00160942",176,83,23,6,8,1,4,52,4
"S00160943",84,22,26,13,4,-,-,22,-
"S00160944",127,36,16,11,5,1,-,58,-
"S00160945",107,49,13,8,7,6,5,16,1
"S00160946",100,70,9,5,7,2,2,4,1
"S00160947",194,101,18,32,19,1,2,16,2
"S00160948",183,81,21,10,12,5,5,47,1
"S00160949",65,44,13,1,-,-,-,7,-
"S00160950",74,46,11,6,5,4,-,7,1
"S00160951",118,100,8,-,1,-,-,6,-
"S00160952",66,33,18,2,3,-,-,5,1
"S00160953",257,148,33,29,5,4,-,38,-
"S00160954",130,65,9,5,8,2,3,36,-
"S00160955",182,118,36,13,8,2,3,4,-
"S00160956",74,28,11,12,6,5,3,8,1
"S00160957",170,92,38,7,2,-,-,28,1
"S00160958",155,122,18,9,1,3,1,1,1
"S00160959",105,63,12,1,3,1,-,28,-
"S00160960",101,52,8,3,5,-,-,30,1
"S00160961",141,80,20,12,4,-,2,18,1
"S00160962",87,46,14,3,7,1,2,12,-
"S00160963",133,59,15,10,3,1,2,40,-
"S00160964",213,128,52,23,3,1,11,6,-
"S00160965",143,99,14,6,6,1,3,12,-
"S00160966",127,105,8,7,-,-,-,8,-
"S00160967",124,60,15,17,4,-,-,20,1
"S00160968",135,65,13,21,16,6,3,10,1
"S00160969",199,92,42,17,8,4,6,30,1
"S00160970",115,89,13,5,1,-,-,7,-
"S00160971",121,57,24,2,11,1,3,22,-
"S00160972",90,62,4,6,2,5,2,4,-
"S00160973",83,33,14,15,2,2,1,15,1
"S00160974",111,43,31,25,3,-,3,7,-
"S00160975",101,85,6,7,1,-,-,2,-
"S00160976",87,53,11,8,5,3,-,6,-
"S00160977",86,51,12,5,1,3,3,12,-
"S00160978",161,102,36,20,1,-,-,4,-
"S00160979",83,36,10,3,8,1,1,25,-
"S00160980",138,85,22,2,4,-,2,22,1
"S00160981",100,88,7,5,-,-,-,-,-
"S00160982",69,32,16,9,2,1,-,8,-
"S00160983",171,92,31,7,3,2,-,30,2
"S00160984",108,80,19,2,-,-,1,4,-
"S00160985",79,52,12,1,5,4,1,8,-
"S00160986",183,81,41,17,13,5,5,25,-
"S00160987",142,76,13,10,4,4,9,27,-
"S00160988",123,72,6,6,8,4,8,19,2
"S00160989",108,63,12,10,7,4,-,11,-
"S00160990",134,85,8,14,4,5,3,18,2
"S00160991",66,48,7,3,1,-,-,6,-
"S00160992",69,41,11,2,-,2,1,11,-
"S00160993",92,59,10,4,8,1,-,10,-
"S00160994",83,44,9,5,1,-,-,23,-
"S00160995",86,63,5,5,4,-,-,9,1
"S00160996",78,46,10,5,-,3,-,10,-
"S00160997",122,63,15,11,8,2,3,25,-
"S00160998",110,54,14,5,6,5,1,22,1
"S00160999",121,85,18,4,-,-,-,11,4
"S00161000",87,78,8,3,-,4,-,2,-
"S00161001",95,55,15,14,2,6,-,7,-
"S00161002",112,95,6,4,-,1,-,6,-
"S00161003",97,63,8,5,4,5,3,11,1
"S00161004",99,57,9,8,4,2,-,15,1
"S00161005",127,74,18,12,6,2,1,13,-
"S00161006",110,80,5,9,-,-,-,16,-
"S00161007",89,53,11,3,5,-,4,12,-
"S00161008",86,54,14,6,3,1,3,3,-
"S00161009",231,142,36,28,10,2,1,7,2
"S00161010",165,101,15,24,-,-,2,22,-
"S00161011",70,39,9,5,3,-,1,14,-
"S00161012",212,137,33,32,3,1,-,9,-
"S00161013",96,62,11,5,3,1,1,9,1
"S00161014",111,90,7,7,-,-,-,9,-
"S00161015",103,60,18,13,4,1,3,8,-
"S00161016",163,67,36,15,14,5,1,25,-
"S00161017",135,110,11,7,2,-,-,2,-
"S00161018",97,52,17,21,2,-,2,7,-
"S00161019",131,63,22,5,6,2,2,25,3
"S00161020",85,50,7,-,6,4,5,12,-
"S00161021",155,94,20,15,2,-,1,21,-
"S00161022",198,140,24,8,6,4,4,12,1
"S00161023",115,94,15,1,2,2,1,1,-
"S00161024",186,126,19,6,7,1,-,20,4
"S00161025",172,83,41,26,4,1,-,17,-
"S00161026",90,57,9,13,5,-,7,1,1
"S00161027",101,64,14,6,3,-,3,8,2
"S00161028",128,94,6,11,2,-,1,10,-
"S00161029",177,135,17,15,1,-,1,4,-
"S00161030",92,27,14,9,17,1,5,19,-
"S00161031",127,86,28,7,1,3,-,3,-
"S00161032",128,76,17,22,8,1,-,5,-
"S00161033",124,79,11,5,6,3,2,18,2
"S00161034",70,42,7,4,6,3,-,7,-
"S00161035",81,52,4,4,2,3,3,13,-
"S00161036",171,102,20,22,10,2,1,11,-
"S00161037",70,42,6,12,-,-,-,1,-
"S00161038",104,75,18,6,2,-,-,3,-
"S00161039",95,56,25,10,-,3,-,-,-
"S00161040",174,92,33,30,11,2,4,4,-
"S00161041",104,52,10,21,1,5,2,17,-
"S00161042",161,90,31,22,11,4,1,4,-
"S00161043",128,105,7,4,3,4,-,2,3
"S00161044",82,42,19,3,6,5,2,8,1
"S00161045",60,49,10,-,-,-,-,2,-
"S00161046",120,77,19,10,4,-,3,6,2
"S00161047",77,46,7,13,1,-,1,7,3
"S00161048",148,112,25,2,1,-,-,8,-
"S00161049",190,139,21,16,3,-,1,13,-
"S00161050",92,56,20,10,1,-,-,4,-
"S00161051",180,114,29,31,1,2,1,2,-
"S00161052",235,157,40,23,6,-,-,10,-
"S00161053",201,177,8,8,-,1,2,5,-
"S00161054",137,103,8,19,-,1,-,2,-
"S00161055",97,66,19,10,-,-,-,2,-
"S00161056",140,109,11,4,-,-,3,12,-
"S00161057",183,104,35,22,6,7,2,8,-
"S00161058",104,83,13,4,1,-,-,3,-
"S00161059",81,52,10,10,2,-,1,3,-
"S00161060",68,45,8,3,-,2,1,8,2
"S00161061",87,52,12,6,3,2,3,8,-
"S00161062",122,73,14,10,9,3,-,10,1
"S00161063",82,73,4,3,1,-,-,2,-
"S00161064",173,111,25,11,10,1,5,10,-
"S00161065",116,99,8,3,-,1,1,4,-
"S00161066",116,82,27,5,1,1,-,-,-
"S00161067",149,116,11,7,-,3,-,12,-
"S00161068",158,102,21,24,-,1,3,7,-
"S00161069",127,69,22,3,4,4,4,21,4
"S00161070",125,63,26,24,4,1,-,10,-
"S00161071",129,65,15,13,4,6,3,24,-
"S00161072",161,115,26,6,3,-,1,11,-
"S00161073",115,78,19,6,-,2,1,9,-
"S00161074",126,90,11,7,2,4,1,11,-
"S00161075",101,86,2,4,2,2,1,4,-
"S00161076",193,110,20,37,8,1,3,15,-
"S00161077",108,71,18,1,4,-,1,15,-
"S00161078",166,126,26,1,2,1,-,12,-
"S00161079",135,99,21,11,-,2,2,1,-
"S00161080",63,35,8,4,4,-,2,11,-
"S00161081",81,48,9,5,4,3,1,10,-
"S00161082",100,73,7,-,-,4,1,13,-
"S00161083",101,66,18,10,2,-,-,6,1
"S00161084",97,72,5,7,2,-,-,9,-
"S00161085",130,78,26,8,-,-,-,11,5
"S00161086",171,110,22,11,4,-,8,11,1
"S00161087",97,74,13,8,-,1,1,-,-
"S00161088",114,84,17,3,2,-,3,9,-
"S00161089",110,63,10,9,6,-,3,11,1
"S00161090",94,80,2,4,5,-,-,-,-
"S00161091",119,75,24,10,5,2,2,-,-
"S00161092",97,56,13,9,11,-,4,6,-
"S00161093",176,101,25,13,8,4,2,24,1
"S00161094",126,87,13,15,6,-,-,5,-
"S00161095",116,67,27,9,1,4,2,6,-
"S00161096",85,49,20,8,2,-,-,5,-
"S00161097",92,46,11,10,7,2,4,9,2
"S00161098",88,47,15,8,9,2,2,5,-
"S00161099",104,82,16,-,-,1,-,3,-
"S00161100",140,111,11,15,-,-,-,-,-
"S00161101",125,86,17,8,4,1,2,6,-
"S00161102",78,55,5,6,1,1,2,5,-
"S00161103",217,139,47,12,6,2,2,10,1
"S00161104",104,85,11,8,1,1,-,2,-
"S00161105",103,61,16,10,2,1,2,10,-
"S00161106",152,128,11,4,-,-,1,5,-
"S00161107",78,46,12,7,4,-,4,8,1
"S00161108",138,56,12,17,-,-,1,49,-
"S00161109",129,76,23,6,5,3,2,14,-
"S00161110",124,98,12,11,-,-,2,2,-
"S00161111",92,62,17,3,-,1,1,6,-
"S00161112",91,60,17,6,4,-,-,4,-
"S00161113",119,67,16,9,2,-,-,19,-
"S00161114",101,47,12,8,4,3,1,26,-
"S00161115",109,73,10,4,3,2,-,13,-
"S00161116",116,91,4,10,5,1,2,6,-
"S00161117",104,77,8,11,2,1,-,4,-
"S00161118",73,51,3,2,1,7,1,9,-
"S00161119",116,92,15,6,1,-,1,4,2
"S00161120",76,53,9,6,-,-,-,7,-
"S00161121",101,73,8,8,1,1,1,8,1
"S00161122",145,77,26,9,8,-,4,18,-
"S00161123",69,50,11,2,1,-,1,4,-
"S00161124",109,60,17,7,-,-,-,26,-
"S00161125",120,95,10,7,1,-,-,7,-
"S00161126",161,92,16,21,3,1,2,23,4
"S00161127",82,59,14,2,1,-,-,8,-
"S00161128",103,82,6,10,-,-,-,2,-
"S00161129",87,61,13,7,4,-,2,-,-
"S00161130",86,66,7,13,-,-,-,-,-
"S00161131",120,91,5,9,-,11,2,4,-
"S00161132",91,52,15,7,2,-,6,8,1
"S00161133",84,57,7,7,2,2,4,8,-
"S00161134",116,65,13,11,2,-,1,19,2
"S00161135",79,47,5,8,2,4,1,13,-
"S00161136",154,104,17,10,8,-,-,13,-
"S00161137",99,73,5,12,-,2,-,6,-
"S00161138",89,53,15,3,5,1,-,11,-
"S00161139",186,143,10,16,4,1,-,8,-
"S00161140",114,67,12,8,9,5,1,12,-
"S00161141",126,75,7,18,5,6,-,17,-
"S00161142",125,91,9,13,7,1,-,5,1
"S00161143",103,57,16,7,3,-,2,16,2
"S00161144",115,83,10,16,1,-,-,4,1
"S00161145",119,90,7,1,4,3,-,12,1
"S00161146",92,54,22,16,-,1,1,4,-
"S00161147",89,54,15,10,3,2,2,5,-
"S00161148",113,74,9,7,1,3,1,12,4
"S00161149",113,74,13,5,5,-,-,13,1
"S00161150",69,48,8,6,-,-,2,6,-
"S00161151",105,60,17,-,3,-,-,23,-
"S00161152",91,52,11,13,4,1,-,6,-
"S00161153",87,62,9,8,1,-,4,9,-
"S00161154",83,71,8,1,-,-,1,5,-
"S00161155",142,75,30,22,4,4,2,3,-
"S00161156",232,166,39,21,6,5,1,1,2
"S00161157",112,68,24,6,2,3,-,8,-
"S00161158",74,41,8,7,3,6,2,6,2
"S00161159",132,99,9,3,4,4,-,15,-
"S00161160",91,67,6,12,4,3,-,4,-
"S00161161",74,53,8,7,-,-,-,6,1
"S00161162",79,65,7,4,-,-,-,-,-
"S00161163",76,38,13,11,-,6,-,11,-
"S00161164",68,50,8,-,-,-,-,11,-
"S00161165",174,123,16,20,5,-,4,9,-
"S00161166",109,84,4,5,-,-,-,14,-
"S00161167",61,52,2,2,1,-,-,4,-
"S00161168",82,46,19,8,4,1,-,8,-
"S00161169",107,67,13,12,6,3,-,7,1
"S00161170",118,75,9,11,3,3,-,18,-
"S00161171",65,48,3,1,-,-,-,14,-
"S00161172",151,86,23,25,6,-,-,11,-
"S00161173",86,54,3,1,3,6,-,19,-
"S00161174",248,152,42,14,7,2,2,27,-
"S00161175",121,90,7,13,2,1,1,4,-
"S00161176",102,83,4,10,1,-,-,2,-
"S00161177",113,68,21,11,2,2,1,12,-
"S00161178",192,125,19,18,7,5,-,18,-
